date,sentiment
2013-09-04,0.226334
2013-09-05,0.309796
2013-09-06,0.327516
2013-09-07,0.349934
2013-09-08,0.2602049999999999
2013-09-09,0.396151
2013-09-10,0.337767
2013-09-11,0.225167
2013-09-12,0.2371869999999999
2013-09-13,0.262803
2013-09-14,0.224631
2013-09-15,0.254598
2013-09-16,0.241184
2013-09-17,0.267098
2013-09-18,0.269513
2013-09-19,0.297266
2013-09-20,0.292781
2013-09-21,0.2321079999999999
2013-09-22,0.270469
2013-09-23,0.31113
2013-09-24,0.388391
2013-09-25,0.362032
2013-09-26,0.300921
2013-09-27,0.290464
2013-09-28,0.303973
2013-09-29,0.330271
2013-09-30,0.26416
2013-10-01,0.15879
2013-10-02,0.162154
2013-10-03,0.237812
2013-10-04,0.180058
2013-10-05,0.242373
2013-10-06,0.267215
2013-10-07,0.215297
2013-10-08,0.276813
2013-10-09,0.379299
2013-10-10,0.1710829999999999
2013-10-11,0.373191
2013-10-12,0.270779
2013-10-13,0.302239
2013-10-14,0.30194
2013-10-15,0.309566
2013-10-16,0.2157069999999999
2013-10-17,0.333853
2013-10-18,0.104417
2013-10-19,0.265216
2013-10-20,0.277057
2013-10-21,0.2553249999999999
2013-10-22,0.297454
2013-10-23,0.4138159999999999
2013-10-24,0.258253
2013-10-25,0.210742
2013-10-26,0.206777
2013-10-27,0.252388
2013-10-28,0.262208
2013-10-29,0.185434
2013-10-30,0.377534
2013-10-31,0.196713
2013-11-01,0.270641
2013-11-02,0.271547
2013-11-03,0.278404
2013-11-04,0.247554
2013-11-05,0.147186
2013-11-06,0.330814
2013-11-07,0.240848
2013-11-08,0.189585
2013-11-09,0.386376
2013-11-10,0.395414
2013-11-11,0.300689
2013-11-12,0.368882
2013-11-13,0.281375
2013-11-14,0.24012
2013-11-15,0.160965
2013-11-16,0.222204
2013-11-17,0.242713
2013-11-18,0.199284
2013-11-19,0.2539889999999999
2013-11-20,0.151862
2013-11-21,0.3860099999999999
2013-11-22,0.201622
2013-11-23,0.215248
2013-11-24,0.332457
2013-11-25,0.4105129999999999
2013-11-26,0.240532
2013-11-27,0.267868
2013-11-28,0.24388
2013-11-29,0.333117
2013-11-30,0.279495
2013-12-01,0.20453
2013-12-02,0.345946
2013-12-03,0.217993
2013-12-04,0.176722
2013-12-05,0.284387
2013-12-06,0.216915
2013-12-07,0.267772
2013-12-08,0.247186
2013-12-09,0.319928
2013-12-10,0.272441
2013-12-11,0.269843
2013-12-12,0.359298
2013-12-13,0.322083
2013-12-14,0.280138
2013-12-15,0.232351
2013-12-16,0.276004
2013-12-17,0.24197
2013-12-18,0.0581499999999999
2013-12-19,0.1686929999999999
2013-12-20,0.34224
2013-12-21,0.295856
2013-12-22,0.1108879999999999
2013-12-23,0.245775
2013-12-24,0.278961
2013-12-25,0.2023819999999999
2013-12-26,0.305622
2013-12-27,0.202074
2013-12-28,0.221708
2013-12-29,0.1754939999999999
2013-12-30,0.242228
2013-12-31,0.268157
